id;name;category;fabricator;price_per_m2;currency
g-g101;Габбро-диабаз (G101);Гранит;Карелия;220;BYN
g-g102;"Лието Ред (G102), полированный";Гранит;Финляндия, Лието;260;BYN
g-g103;Мансуровский (G103);Гранит;Россия, Карелия (Мансуровский карьер);210;BYN
g-g104;Гранатовый амфиболит (G104);Гранит;Карелия;230;BYN
g-g106;Балморал Ред (G106);Гранит;Финляндия, Балморал;285;BYN
g-g109;Балтик Грин (G109);Гранит;Карелия;240;BYN
g-g113;Блю Перл (G113);Гранит;Норвегия, Ларвик;480;BYN
m-m-100;Emperador Dark (M100);Мрамор;Турция;280;BYN
q-q303;Кварц Q303 "Лаки Уайт";Кварцевый агломерат;Китай (Luxtouch);340;BYN
q-q402;Кварц Q402 "Греция";Кварцевый агломерат;Китай (Quartzforms);310;BYN
q-q520;Кварц Q520 "Каррара";Кварцевый агломерат;Испания;360;BYN
o-onyx;Оникс Раффаэлло;Оникс;Турция;520;BYN
